250최고,250최고가대비율,250최고가일,250최저,250최저가대비율,250최저가일,BPS,EPS,EV,PBR,PER,ROE,거래대비,거래량,결산월,고가,기준가,당기순이익,대비기호,대용가,등락율,매출액,상장주식,상한가,시가,시가총액,시가총액비중,신용비율,액면가,액면가단위,연중최고,연중최저,영업이익,예상체결가,예상체결수량,외인소진률,자본금,저가,전일대비,종목명,종목코드,하한가,현재가
+20850,-29.02,20170426,-13350,+10.86,20180305,31532,227,2.36,0.47,65.20,2.0,-65.08,8294,12,+14950,14550,46,2,9890,+1.72,1841,7297,+18900,14550,1080,,+0.18,500,원,+17150,-13350,192,-0,0,+1.45,36,-14450,+250,S&TC,100840,-10200,+14800
+134000,-17.91,20171019,-92500,+18.92,20170629,54814,10353,9.00,2.01,10.62,18.8,+111.16,237609,12,+112000,109500,12465,2,85410,+0.46,208914,112583,+142000,-109000,123841,,+0.12,2500,원,+127500,-108000,13733,-0,0,+76.98,2815,-109000,+500,S-Oil,010950,-77000,+110000
+86600,-50.75,20171127,-39500,+7.97,20180409,72380,4264,9.98,0.59,10.00,54.0,-35.37,77508,12,+42900,42800,8023,5,29960,-0.35,67467,19038,+55600,+42850,8120,,+3.09,5000,원,+84200,-39500,1098,-0,0,+14.22,1049,-41500,-150,SK디스커버리,006120,-30000,-42650
+128500,-21.01,20180115,-93500,+8.56,20180105,0,0,,0.00,0.00,,+180.18,86514,12,+103500,102500,-99,5,71750,-0.98,878,11580,+133000,+103000,11754,,+1.46,5000,원,+128500,-93500,-92,-0,0,+4.30,579,-100500,-1000,SK케미칼,285130,-72000,-101500
+2735,-6.76,20180416,-1695,+50.44,20170926,1749,0,,1.46,0.00,-8.2,+247.26,204330,12,+2585,2480,-100,2,1780,+2.82,725,58171,+3220,+2500,1483,,+0.08,500,원,+2735,-1850,-71,-0,0,+1.51,297,-2470,+70,YG PLUS,037270,-1740,+2550
+90900,-52.37,20170512,-40250,+7.58,20180111,144771,4931,1.74,0.30,8.78,11.0,+260.19,8360,12,+43450,43350,519,5,28610,-0.12,1951,2365,+56300,43350,1024,,+0.55,5000,원,+48650,-40250,364,-0,0,+14.59,118,-42500,-50,경동인베스트,012320,-30350,-43300
+40050,-26.84,20170612,-27950,+4.83,20180308,70031,2053,6.41,0.42,14.27,1.7,+289.86,37174,12,+29300,28300,225,2,20370,+3.53,15505,20000,+36750,+28500,5860,,+0.09,1000,원,+36100,-27950,388,-0,0,+7.47,200,+28450,+1000,고려제강,002240,-19850,+29300
+11150,-17.49,20180411,-7870,+16.90,20170926,7115,692,9.65,1.29,13.29,6.1,+172.91,266232,12,-9390,9400,231,5,6950,-2.13,11416,52421,+12200,-9370,4823,,+0.93,1000,원,+11150,-8590,357,-0,0,+24.03,524,-9010,-200,광동제약,009290,-6580,-9200
+16000,-23.75,20170508,-9070,+34.51,20180119,12266,0,,0.99,0.00,-17.2,+328.15,106353,12,+12350,11600,-29,2,7420,+5.17,783,1682,+15050,11600,205,,+0.42,5000,원,+12800,-9070,-39,-0,0,+1.86,84,-11250,+600,국보,001140,-8150,+12200
+94900,-23.92,20170524,-67500,+6.96,20180116,90860,11731,3.92,0.79,6.15,3.8,+206.16,2911,9,73900,73900,66,5,50250,-2.30,1855,1000,+96000,-72400,722,,+0.39,5000,원,+88700,-67500,117,-0,0,+0.18,50,-71900,-1700,금비,008870,-51800,-72200
+11400,-28.60,20170515,-6970,+16.79,20171221,14664,0,17.96,0.56,0.00,-22.4,+111.54,25695,12,+8280,8040,-202,2,5620,+1.24,3387,6977,+10450,-7960,568,,+0.23,5000,원,+9100,-7080,-12,-0,0,+2.80,349,-7960,+100,금호전기,001210,-5630,+8140
